Id,Date,TotalSteps,avg_heart_hr
2347167796,2016-03-30T00:00:00Z,10533,58
2347167796,2016-03-31T00:00:00Z,6760,81
2347167796,2016-04-01T00:00:00Z,8328,65
2347167796,2016-04-02T00:00:00Z,15459,66
2347167796,2016-04-03T00:00:00Z,7485,69
2347167796,2016-04-04T00:00:00Z,10254,66
2347167796,2016-04-05T00:00:00Z,10114,74
2347167796,2016-04-08T00:00:00Z,10209,74
2347167796,2016-04-10T00:00:00Z,10078,80
2347167796,2016-04-11T00:00:00Z,10001,68
4020332650,2016-04-06T00:00:00Z,7476,87
4020332650,2016-04-12T00:00:00Z,8,63
4558609924,2016-04-02T00:00:00Z,3183,77
4558609924,2016-04-03T00:00:00Z,6176,66
4558609924,2016-04-04T00:00:00Z,8205,64
5553957443,2016-04-02T00:00:00Z,2937,70
5553957443,2016-04-03T00:00:00Z,1515,76
5553957443,2016-04-05T00:00:00Z,11306,60
5553957443,2016-04-07T00:00:00Z,15444,56
5553957443,2016-04-09T00:00:00Z,4599,55
5553957443,2016-04-10T00:00:00Z,5594,76
5553957443,2016-04-12T00:00:00Z,3436,61
5577150313,2016-04-01T00:00:00Z,10461,55
5577150313,2016-04-02T00:00:00Z,14873,51
5577150313,2016-04-03T00:00:00Z,9917,47
5577150313,2016-04-04T00:00:00Z,7401,52
5577150313,2016-04-05T00:00:00Z,8964,45
5577150313,2016-04-06T00:00:00Z,11080,46
5577150313,2016-04-08T00:00:00Z,4363,48
5577150313,2016-04-09T00:00:00Z,10494,52
6117666160,2016-04-01T00:00:00Z,7444,74
6117666160,2016-04-06T00:00:00Z,12409,54
6117666160,2016-04-07T00:00:00Z,4853,72
6391747486,2016-04-06T00:00:00Z,165,83
6775888955,2016-04-02T00:00:00Z,1988,93
6775888955,2016-04-06T00:00:00Z,11761,101
6775888955,2016-04-07T00:00:00Z,13987,78
6775888955,2016-04-09T00:00:00Z,14,85
6962181067,2016-03-30T00:00:00Z,15491,60
6962181067,2016-04-01T00:00:00Z,10467,66
6962181067,2016-04-03T00:00:00Z,12307,63
6962181067,2016-04-05T00:00:00Z,12010,68
6962181067,2016-04-09T00:00:00Z,12495,80
6962181067,2016-04-10T00:00:00Z,10148,79
6962181067,2016-04-11T00:00:00Z,12362,63
8792009665,2016-04-01T00:00:00Z,4592,81
8792009665,2016-04-05T00:00:00Z,2332,62
8792009665,2016-04-06T00:00:00Z,2121,77
8792009665,2016-04-11T00:00:00Z,178,76
2347167796,2016-04-13T00:00:00Z,10352,73
2347167796,2016-04-14T00:00:00Z,10129,72
2347167796,2016-04-15T00:00:00Z,10465,71
2347167796,2016-04-17T00:00:00Z,5472,75
2347167796,2016-04-18T00:00:00Z,8247,74
2347167796,2016-04-21T00:00:00Z,10080,70
2347167796,2016-04-22T00:00:00Z,7804,70
2347167796,2016-04-25T00:00:00Z,9482,70
2347167796,2016-04-26T00:00:00Z,5980,75
2347167796,2016-04-27T00:00:00Z,11423,67
2347167796,2016-04-29T00:00:00Z,42,67
4020332650,2016-04-12T00:00:00Z,8539,63
4020332650,2016-04-16T00:00:00Z,1982,68
4020332650,2016-05-03T00:00:00Z,4496,67
4388161847,2016-04-13T00:00:00Z,10993,64
4388161847,2016-04-15T00:00:00Z,8758,60
4388161847,2016-04-16T00:00:00Z,6580,73
4388161847,2016-04-19T00:00:00Z,10181,54
4388161847,2016-04-20T00:00:00Z,10553,53
4388161847,2016-04-21T00:00:00Z,10055,52
4388161847,2016-04-24T00:00:00Z,10243,61
4388161847,2016-04-27T00:00:00Z,11193,55
4388161847,2016-04-28T00:00:00Z,10074,53
4388161847,2016-05-02T00:00:00Z,10096,56
4388161847,2016-05-04T00:00:00Z,12375,49
4388161847,2016-05-05T00:00:00Z,9603,48
4388161847,2016-05-08T00:00:00Z,17298,54
4388161847,2016-05-11T00:00:00Z,10201,56
4558609924,2016-04-17T00:00:00Z,9634,91
4558609924,2016-04-20T00:00:00Z,4803,72
4558609924,2016-04-22T00:00:00Z,9601,62
4558609924,2016-04-25T00:00:00Z,8095,65
4558609924,2016-04-26T00:00:00Z,9148,68
4558609924,2016-04-29T00:00:00Z,7833,63
4558609924,2016-05-03T00:00:00Z,5267,60
4558609924,2016-05-06T00:00:00Z,3755,58
4558609924,2016-05-08T00:00:00Z,6543,67
5553957443,2016-04-12T00:00:00Z,11596,61
5553957443,2016-04-15T00:00:00Z,16556,55
5553957443,2016-04-16T00:00:00Z,5771,60
5553957443,2016-04-17T00:00:00Z,655,61
5553957443,2016-04-18T00:00:00Z,3727,68
5553957443,2016-04-21T00:00:00Z,12346,53
5553957443,2016-04-22T00:00:00Z,11682,54
5553957443,2016-04-24T00:00:00Z,1807,65
5553957443,2016-04-25T00:00:00Z,10946,62
5553957443,2016-04-26T00:00:00Z,11886,66
5553957443,2016-04-28T00:00:00Z,11393,61
5553957443,2016-04-29T00:00:00Z,12764,55
5553957443,2016-04-30T00:00:00Z,1202,62
5553957443,2016-05-01T00:00:00Z,5164,51
5553957443,2016-05-03T00:00:00Z,12848,61
5553957443,2016-05-04T00:00:00Z,4249,70
5553957443,2016-05-05T00:00:00Z,14331,54
5577150313,2016-04-13T00:00:00Z,5077,50
5577150313,2016-04-14T00:00:00Z,8596,50
5577150313,2016-04-15T00:00:00Z,12087,49
5577150313,2016-04-18T00:00:00Z,9893,47
5577150313,2016-04-19T00:00:00Z,12574,57
5577150313,2016-04-20T00:00:00Z,8330,57
5577150313,2016-04-23T00:00:00Z,7638,49
5577150313,2016-04-24T00:00:00Z,15764,50
5577150313,2016-04-25T00:00:00Z,6393,57
5577150313,2016-04-26T00:00:00Z,5325,54
5577150313,2016-04-28T00:00:00Z,9841,54
5577150313,2016-05-01T00:00:00Z,13368,58
5577150313,2016-05-02T00:00:00Z,7439,52
5577150313,2016-05-04T00:00:00Z,5206,77
5577150313,2016-05-10T00:00:00Z,8869,55
5577150313,2016-05-11T00:00:00Z,4038,56
6117666160,2016-04-16T00:00:00Z,14450,80
6117666160,2016-04-17T00:00:00Z,7150,91
6117666160,2016-04-19T00:00:00Z,11135,74
6117666160,2016-04-21T00:00:00Z,19542,64
6117666160,2016-04-23T00:00:00Z,11495,69
6117666160,2016-04-24T00:00:00Z,7623,81
6117666160,2016-04-28T00:00:00Z,3403,70
6117666160,2016-04-29T00:00:00Z,9592,79
6117666160,2016-04-30T00:00:00Z,6987,89
6117666160,2016-05-01T00:00:00Z,8915,74
6117666160,2016-05-05T00:00:00Z,9799,75
6117666160,2016-05-06T00:00:00Z,3365,88
6117666160,2016-05-08T00:00:00Z,7328,69
6117666160,2016-05-09T00:00:00Z,4477,74
6775888955,2016-04-14T00:00:00Z,5162,73
6775888955,2016-04-15T00:00:00Z,1282,80
6775888955,2016-05-01T00:00:00Z,2487,90
6775888955,2016-05-07T00:00:00Z,1967,116
6962181067,2016-04-13T00:00:00Z,5652,82
6962181067,2016-04-14T00:00:00Z,1551,73
6962181067,2016-04-15T00:00:00Z,5563,65
6962181067,2016-04-18T00:00:00Z,11404,65
6962181067,2016-04-21T00:00:00Z,11835,65
6962181067,2016-04-23T00:00:00Z,20031,64
6962181067,2016-04-24T00:00:00Z,5029,58
6962181067,2016-04-26T00:00:00Z,10433,59
6962181067,2016-04-27T00:00:00Z,10320,72
6962181067,2016-04-28T00:00:00Z,12627,57
6962181067,2016-04-29T00:00:00Z,10762,58
6962181067,2016-05-03T00:00:00Z,12109,70
6962181067,2016-05-04T00:00:00Z,10147,62
6962181067,2016-05-07T00:00:00Z,6815,72
6962181067,2016-05-08T00:00:00Z,4188,73
6962181067,2016-05-11T00:00:00Z,6722,64
6962181067,2016-05-12T00:00:00Z,3587,67
8792009665,2016-04-23T00:00:00Z,5245,61
8792009665,2016-04-24T00:00:00Z,400,64
8792009665,2016-04-27T00:00:00Z,1758,63
8792009665,2016-04-28T00:00:00Z,6157,65
8792009665,2016-04-30T00:00:00Z,7174,77
8792009665,2016-05-01T00:00:00Z,1619,65
8792009665,2016-05-04T00:00:00Z,2283,82
